frame,timestamp_s,motion_score,changed_pct,motion_level
552,18.400,9.299,12.319,Medium
553,18.433,7.435,9.311,Medium
554,18.467,7.356,9.209,Medium
555,18.500,9.291,12.263,Medium
556,18.533,7.468,9.472,Medium
557,18.567,7.636,9.597,Medium
558,18.600,9.519,12.724,Medium
559,18.633,7.646,9.839,Medium
560,18.667,7.738,9.840,Medium
561,18.700,9.366,12.474,Medium
562,18.733,7.493,9.504,Medium
563,18.767,7.500,9.576,Medium
564,18.800,9.539,12.768,Medium
565,18.833,7.409,9.504,Medium
566,18.867,7.677,9.779,Medium
567,18.900,9.474,12.794,Medium
568,18.933,7.823,9.895,Medium
569,18.967,8.141,9.980,Medium
570,19.000,9.618,12.927,Medium
571,19.033,7.674,9.845,Medium
572,19.067,7.960,10.015,Medium
573,19.100,9.809,13.226,Medium
574,19.133,8.061,10.285,Medium
575,19.167,7.927,10.338,Medium
576,19.200,10.186,13.714,Medium
577,19.233,7.890,10.449,Medium
578,19.267,8.188,10.772,Medium
579,19.300,10.127,13.829,Medium
580,19.333,7.970,10.265,Medium
581,19.367,7.922,10.387,Medium
582,19.400,9.960,13.479,Medium
583,19.433,7.788,10.100,Medium
584,19.467,7.947,10.051,Medium
585,19.500,9.581,12.756,Medium
586,19.533,7.575,9.533,Medium
587,19.567,7.473,9.602,Medium
588,19.600,9.276,12.416,Medium
589,19.633,7.327,9.289,Medium
590,19.667,7.162,9.178,Medium
591,19.700,8.994,12.079,Medium
592,19.733,7.267,9.305,Medium
593,19.767,7.053,8.951,Medium
594,19.800,9.129,12.170,Medium
595,19.833,7.247,9.245,Medium
596,19.867,7.626,9.648,Medium
597,19.900,9.627,13.045,Medium
598,19.933,7.779,10.149,Medium
599,19.967,7.755,10.104,Medium
600,20.000,10.237,13.109,Medium
601,20.033,7.875,10.168,Medium
602,20.067,8.013,10.370,Medium
603,20.100,9.964,13.365,Medium
604,20.133,8.011,10.481,Medium
605,20.167,8.234,10.662,Medium
606,20.200,10.275,13.809,Medium
607,20.233,8.277,10.826,Medium
608,20.267,8.259,10.848,Medium
609,20.300,10.255,13.822,Medium
610,20.333,7.956,10.429,Medium
611,20.367,7.898,10.379,Medium
612,20.400,9.900,13.233,Medium
613,20.433,7.576,9.891,Medium
614,20.467,7.820,10.238,Medium
615,20.500,10.071,13.527,Medium
616,20.533,7.999,10.514,Medium
617,20.567,8.153,10.655,Medium
618,20.600,10.120,13.782,Medium
619,20.633,8.130,10.555,Medium
620,20.667,8.314,10.800,Medium
621,20.700,10.430,14.120,Medium
622,20.733,8.299,10.918,Medium
623,20.767,8.282,10.885,Medium
624,20.800,10.529,14.306,Medium
625,20.833,8.315,10.964,Medium
626,20.867,8.553,11.045,Medium
627,20.900,10.653,14.040,Medium
628,20.933,8.575,11.156,Medium
629,20.967,8.503,11.099,Medium
630,21.000,10.849,14.414,Medium
631,21.033,8.407,11.024,Medium
632,21.067,8.458,10.979,Medium
633,21.100,10.743,14.126,Medium
634,21.133,8.861,11.580,Medium
635,21.167,9.051,11.941,Medium
636,21.200,11.633,15.467,Medium
637,21.233,8.991,11.730,Medium
638,21.267,9.149,11.912,Medium
639,21.300,11.301,15.060,Medium
640,21.333,9.060,11.781,Medium
641,21.367,9.121,11.992,Medium
642,21.400,11.530,15.453,Medium
643,21.433,9.132,12.197,Medium
644,21.467,9.176,12.193,Medium
645,21.500,11.525,15.407,Medium
646,21.533,8.917,11.731,Medium
647,21.567,9.062,11.819,Medium
648,21.600,11.370,15.088,Medium
649,21.633,8.755,11.509,Medium
650,21.667,8.928,11.419,Medium
651,21.700,10.913,14.369,Medium
652,21.733,8.633,11.009,Medium
653,21.767,8.586,10.943,Medium
654,21.800,10.863,14.177,Medium
655,21.833,8.502,10.817,Medium
656,21.867,8.751,11.020,Medium
