frame,timestamp_s,motion_score,changed_pct,motion_level
750,31.250,18.036,17.073,High
751,31.292,25.177,25.502,High
752,31.333,15.543,15.079,High
753,31.375,30.167,29.715,High
754,31.417,5.962,7.396,Medium
755,31.458,27.503,28.388,High
756,31.500,8.345,6.528,Medium
757,31.542,22.429,24.583,High
758,31.583,11.199,13.706,Medium
759,31.625,25.698,25.634,High
760,31.667,9.333,12.571,Medium
761,31.708,23.738,24.793,High
762,31.750,1.308,0.000,Low
763,31.792,17.109,19.516,High
764,31.833,4.151,2.993,Low
765,31.875,24.280,23.588,High
766,31.917,3.998,3.534,Low
767,31.958,21.598,22.898,High
768,32.000,1.067,0.000,Low
769,32.042,1.402,0.001,Low
770,32.083,118.754,89.446,High
771,32.125,0.343,0.142,Low
772,32.167,0.091,0.000,Low
773,32.208,0.447,0.434,Low
774,32.250,0.310,0.000,Low
775,32.292,0.740,0.652,Low
776,32.333,0.236,0.000,Low
777,32.375,0.883,0.646,Low
778,32.417,0.117,0.000,Low
779,32.458,1.084,0.987,Low
780,32.500,0.339,0.000,Low
781,32.542,1.443,1.470,Low
782,32.583,0.150,0.000,Low
783,32.625,1.668,1.579,Low
784,32.667,0.199,0.000,Low
785,32.708,1.170,1.281,Low
786,32.750,0.103,0.000,Low
787,32.792,0.773,0.854,Low
788,32.833,0.039,0.000,Low
789,32.875,0.616,0.601,Low
790,32.917,0.061,0.000,Low
791,32.958,0.076,0.000,Low
792,33.000,0.220,0.000,Low
793,33.042,0.062,0.000,Low
794,33.083,0.048,0.000,Low
795,33.125,0.188,0.000,Low
796,33.167,0.083,0.000,Low
797,33.208,0.102,0.000,Low
798,33.250,0.433,0.000,Low
799,33.292,0.143,0.000,Low
800,33.333,0.091,0.000,Low
801,33.375,0.358,0.000,Low
802,33.417,0.159,0.000,Low
803,33.458,0.132,0.000,Low
804,33.500,0.222,0.000,Low
805,33.542,0.175,0.000,Low
806,33.583,0.074,0.000,Low
807,33.625,0.169,0.000,Low
808,33.667,0.071,0.000,Low
809,33.708,0.091,0.000,Low
